ID,sex,group,phase,reward,feed.A,feed.B,feed.C,feed.D,feed.total,feed.edge,feed.middle,feed.rewarding,feed.RW.side,feed.centre,feed.nonreward.edge,prop.RW,feed.A.D,feed.B1.C1.B4.C4
58,M,border,trained,A,4,2,7,17,30,20,9,4,6,4,22,0.133333333,21,5
62,M,border,trained,A,8,7,6,7,28,14,13,8,15,6,14,0.285714286,15,7
64,F,border,trained,A,8,3,8,10,29,12,11,8,11,5,16,0.275862069,18,6
66,F,border,trained,A,8,3,3,12,26,12,6,8,11,1,17,0.307692308,20,5
68,F,border,trained,D,5,4,6,8,23,13,10,8,14,2,13,0.347826087,13,8
69,F,border,trained,A,5,3,7,4,19,9,10,5,8,5,9,0.263157895,9,5
70,F,border,trained,D,6,4,6,6,22,12,10,6,12,3,13,0.272727273,12,7
72,F,border,trained,D,11,4,5,10,30,16,9,10,15,2,18,0.333333333,21,7
74,F,border,trained,A,4,7,3,5,19,11,10,4,11,4,11,0.210526316,9,6
76,F,border,trained,A,5,4,6,15,30,15,10,5,9,4,21,0.166666667,20,6
77,F,border,trained,D,6,6,7,6,25,11,13,6,13,7,12,0.24,12,6
81,M,border,trained,A,3,5,2,2,12,5,7,3,8,4,9,0.25,9,7
83,F,border,trained,D,1,2,2,1,6,5,4,1,3,0,5,0.166666667,2,4
87,M,border,trained,D,6,6,9,9,30,13,15,9,18,9,12,0.3,15,6
88,M,border,trained,D,9,2,8,11,30,15,10,11,19,3,16,0.366666667,20,7
