ID,sex,group,phase,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,feed.A,feed.B,feed.C,feed.D,total,feed.edge,feed.middle,feed.rewarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,M,border,trained,3,2,3,3,1,0,1,2,1,1,1,4,1,2,1,4,11,4,7,8,30,16,11,8,C4,B4,A4,A4,A3,A2,A1,A3,B3,C4,D4,D4,B4,A2,A1,D2,D4,D3,C4,C3,A4,D2,D4,C4,D1,C1,C2,A3,B1,A1,,,,,,,,,,,,,,,,,,,,,,,,
52,F,border,trained,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1,2,2,7,3,3,2,A1,A1,B1,C1,D4,C4,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,F,border,trained,1,0,0,1,4,0,0,1,2,2,1,2,2,3,3,7,2,5,7,15,29,15,12,15,C2,D4,D4,C4,D4,D4,D3,D2,A1,B1,D3,D4,D4,C4,C1,D1,D4,C3,A4,B4,D3,D2,D1,D2,B1,B1,C1,C2,B1,,,,,,,,,,,,,,,,,,,,,,,,,
56,F,border,trained,0,0,2,1,1,1,1,2,0,2,2,1,1,3,6,5,3,5,5,15,28,15,10,15,C3,D2,B3,D4,C2,D3,D4,C2,A3,A4,B4,B2,D3,D4,D4,D3,C3,D2,D1,B1,D3,C4,B4,A3,D3,D2,D3,D4,,,,,,,,,,,,,,,,,,,,,,,,,,
58,M,border,trained,1,0,3,0,1,0,1,0,2,2,1,2,3,4,8,2,4,2,7,17,30,20,9,4,A3,B3,A3,B1,C2,A3,C2,D3,D2,D1,D3,D2,D1,C1,A1,C1,D1,D2,D3,D4,D4,C4,D3,D3,D2,C4,D3,C3,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,
62,M,border,trained,3,1,3,1,0,3,2,2,3,0,1,2,1,0,3,3,8,7,6,7,28,14,13,8,D4,C4,C3,B4,B3,B2,C1,D1,D4,B3,B2,A1,D3,C1,A1,A3,D3,B4,A4,A3,A2,A1,C4,D3,C1,B2,A3,D4,,,,,,,,,,,,,,,,,,,,,,,,,,
64,F,border,trained,4,2,1,1,1,0,1,1,3,3,1,1,4,2,1,3,8,3,8,10,29,12,11,8,B4,B3,A2,A1,D2,D4,C3,C2,C1,B1,A1,C2,C1,D1,D4,C4,A4,A3,A2,A1,A1,D1,D4,D3,D1,C2,C1,D2,D1,,,,,,,,,,,,,,,,,,,,,,,,,
66,F,border,trained,6,1,0,1,2,0,0,1,2,0,1,0,5,2,4,1,8,3,3,12,26,12,6,8,A4,B4,C3,D1,A1,C1,B1,D1,A1,B1,C1,D1,A2,D4,D2,D1,D3,A1,D2,D3,D3,D1,A1,D3,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,F,border,trained,2,0,1,2,2,0,0,2,3,1,1,1,2,1,3,2,5,4,6,8,23,13,10,8,D4,C4,D3,C3,D1,C1,B1,A1,A1,B1,D3,D2,B4,A4,A3,C1,D1,D4,D3,C1,B4,A4,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,F,border,trained,1,1,2,1,1,1,0,1,2,2,2,1,2,1,0,1,5,3,7,4,19,9,10,5,A3,C3,C1,A2,A4,B4,C2,D2,D4,C4,C3,B1,C1,D1,D1,C2,B2,A1,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,F,border,trained,3,1,2,0,3,0,1,0,3,0,2,1,2,2,0,2,6,4,6,6,22,12,10,6,A1,B1,A3,D4,D1,A1,A2,D4,C4,C3,B3,C3,D2,D1,C1,B1,A3,D2,C1,C1,A1,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,F,border,trained,2,2,3,4,2,1,0,1,1,0,1,3,1,1,3,5,11,4,5,10,30,16,9,10,A3,B2,A2,A3,C4,D4,D4,D4,D3,C4,A4,A4,A4,A3,A2,A1,D1,C1,B4,A4,A1,B1,D4,C4,D4,D3,B1,D2,D3,C3,,,,,,,,,,,,,,,,,,,,,,,,
74,F,border,trained,0,0,3,1,3,2,2,0,0,0,0,3,0,1,1,3,4,7,3,5,19,11,10,4,B2,B1,A3,C4,D4,B2,D4,C4,B3,A3,D2,B1,B1,A4,B3,D4,C4,A3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,F,border,trained,1,1,1,2,1,2,0,1,2,1,1,2,4,4,3,4,5,4,6,15,30,15,10,5,D4,D3,D1,C1,B1,B2,A1,C2,C1,D1,D2,D4,C4,B4,A4,A4,A3,B2,D3,D4,C4,D3,D2,C3,D2,D1,D2,A2,D1,D4,,,,,,,,,,,,,,,,,,,,,,,,
77,F,border,trained,1,1,2,2,2,1,1,2,1,4,1,1,2,0,2,2,6,6,7,6,25,11,13,6,B4,B3,B1,C1,D1,D4,D3,C3,B4,A4,A3,A2,A3,A4,C2,B2,C2,D1,C2,D3,D4,C4,C2,B1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,M,border,trained,5,1,0,1,4,3,1,0,3,0,0,0,2,0,0,0,7,8,3,2,20,8,11,7,B3,B2,B1,C1,D1,D1,B2,A1,A1,C1,B1,A1,B2,A1,B1,C1,B1,A1,A2,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,F,border,trained,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,2,2,1,6,5,4,1,D1,C1,B1,A2,B1,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,M,border,trained,4,2,0,0,2,3,1,0,2,2,3,2,4,3,2,0,6,6,9,9,30,13,15,9,D3,C4,C3,C2,C3,B3,B2,B1,D1,D2,D1,C1,B2,B1,A1,A2,A1,A2,A1,A1,C1,D2,D1,D3,C2,C3,C4,D2,D1,B2,,,,,,,,,,,,,,,,,,,,,,,,
88,M,border,trained,5,2,1,1,1,0,0,1,3,2,1,2,4,3,2,2,9,2,8,11,30,15,10,11,D1,C2,D4,C4,A4,B4,A1,C1,B1,A1,D2,A1,D3,D2,D1,C1,D3,C3,D2,D4,C4,C2,A2,A3,D1,A2,A1,C1,D1,A1,,,,,,,,,,,,,,,,,,,,,,,,
48,M,border,trained2,2,1,0,0,1,1,0,2,2,2,2,3,3,5,2,3,3,4,9,13,29,16,13,13,D3,C4,D3,C2,C1,B1,A1,B4,C4,D4,D4,C4,A2,D2,D1,D2,D4,C1,D1,D2,B2,D2,D1,D2,C3,B4,A1,C2,C3,,,,,,,,,,,,,,,,,,,,,,,,,
49,F,border,trained2,1,2,3,0,3,1,1,1,4,2,0,1,0,4,3,3,6,6,7,10,29,21,13,10,A3,A2,A3,A2,A3,B3,C2,D4,D3,C1,A1,B1,C1,D2,D4,D3,D2,B1,C1,C1,B2,C2,D2,D4,D3,D2,B1,B4,C4,,,,,,,,,,,,,,,,,,,,,,,,,
51,M,border,trained2,1,1,1,3,2,1,0,5,1,0,2,2,1,3,4,3,6,8,5,11,30,19,13,11,D4,C4,C3,C4,B4,B4,A4,D3,B4,B1,D2,D3,D3,D2,A4,B2,B4,D4,D3,C3,A1,C1,D1,A2,B4,D4,A4,A3,D2,B1,,,,,,,,,,,,,,,,,,,,,,,,
52,F,border,trained2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,3,2,2,1,D2,B2,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,F,border,trained2,0,2,2,2,1,1,1,1,0,1,1,0,1,1,0,0,6,4,2,2,14,7,6,2,B4,A4,A3,A2,B1,C3,D1,B3,C2,B2,A4,A3,A2,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,F,border,trained2,2,0,0,2,2,0,1,2,0,0,0,2,4,1,4,1,4,5,2,10,21,11,7,10,A4,B3,D2,B4,D3,D1,A1,D3,D4,D3,B1,D1,D3,C4,A4,B1,D1,D1,A1,C4,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,M,border,trained2,6,3,1,1,1,0,0,0,4,1,1,1,3,3,0,2,11,1,7,8,27,13,8,11,C2,D2,D1,D2,C3,A2,C1,B1,A1,A3,A2,A1,C1,A2,A1,D4,C4,A4,A1,D2,C1,D4,D1,D1,C1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,M,border,trained2,5,3,2,3,3,3,2,3,2,1,0,1,0,0,1,1,13,11,4,2,30,15,15,13,B3,B2,C1,D3,D4,C4,B4,A4,A4,A2,A1,B1,C1,B1,A1,B4,A4,A3,B2,A1,B4,A3,A2,C2,A2,B1,A1,B3,B2,A1,,,,,,,,,,,,,,,,,,,,,,,,
64,F,border,trained2,5,3,1,3,0,0,1,3,1,0,0,1,0,0,1,1,12,4,2,2,20,10,6,12,B4,A4,A3,A2,A1,A1,D4,C4,B4,A4,D3,B4,A4,B3,A2,A1,C1,A1,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,F,border,trained2,2,2,1,2,0,1,3,1,0,0,3,2,5,3,3,2,7,5,5,13,30,12,10,7,D4,C4,D3,D1,A1,B2,A4,B3,B4,C3,D3,D1,B3,A2,D2,D1,D4,D3,A4,B3,A3,A2,D2,D1,A1,C3,D1,C4,C3,D2,,,,,,,,,,,,,,,,,,,,,,,,
68,F,border,trained2,2,2,2,0,1,0,0,1,0,2,0,1,3,1,2,2,6,2,3,8,19,10,5,8,A3,A2,A1,C2,D3,D4,D3,D2,D1,A2,A1,D1,D4,C4,B4,D1,B1,C2,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,F,border,trained2,1,1,2,1,1,1,1,3,0,2,1,2,2,4,3,1,5,6,5,10,26,16,11,5,D3,C4,D3,D2,C2,B4,A4,B3,A1,D2,C2,D2,D3,D2,A2,B2,D1,B1,D1,D4,C4,B4,A3,C3,B4,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,F,border,trained2,2,1,3,2,1,0,2,3,1,1,3,2,1,0,4,1,8,6,7,6,27,15,13,6,C4,A3,B3,C3,D3,B3,B4,A4,A3,A4,A1,B1,D1,A3,A2,D3,C2,A1,D3,C3,D3,B4,C4,C3,D4,C1,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,F,border,trained2,1,1,0,1,1,0,1,0,1,0,1,2,5,0,1,4,3,2,4,10,19,6,6,10,D1,C1,D1,D4,D4,C4,B3,A1,B1,D1,A2,D4,C4,A4,D4,D3,C3,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,F,border,trained2,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,1,5,2,1,3,A4,C2,A3,A4,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,F,border,trained2,6,2,1,3,1,0,1,3,3,1,0,4,1,0,1,3,12,5,8,5,30,15,13,12,B4,C4,D4,C4,B4,A4,B3,A1,C1,A4,A1,C2,D3,C4,C4,B4,A4,B1,C1,C1,D4,A3,A2,D1,A2,A1,A1,A1,D4,A1,,,,,,,,,,,,,,,,,,,,,,,,
77,F,border,trained2,2,4,1,2,3,1,0,3,1,1,1,2,0,1,2,5,9,7,5,8,29,17,12,8,C3,C4,B4,A4,B4,C4,D4,A3,A1,D2,D4,D3,C2,C1,A2,B1,A2,B2,D4,D3,B4,A1,B1,A2,A2,B1,D4,A4,D4,,,,,,,,,,,,,,,,,,,,,,,,,
81,M,border,trained2,2,1,1,3,2,2,1,2,2,1,1,0,6,2,0,2,7,7,4,10,28,10,11,7,B3,B2,C2,B1,B2,A2,A3,A4,D4,B4,A4,A1,A1,C1,D1,D1,B1,D4,C3,D2,B4,A4,D2,D1,C1,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,
